22:35:46 Action done with result: Signed in!
22:35:55 Action done with result: Cursor connected!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:39 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: File is opened!
22:36:40 Action done with result: Successfully written in table!
22:36:40 Action done with result: Transaction commited!
22:36:40 Action done with result: Cursor closed!
22:36:41 Action done with result: Cursor connected!
22:36:41 Action done with result: Successfully read from table!
22:36:41 Editing table: Students
(1, 'Низовцева', 'Анастасия', 'Леонидовна', 1)
(2, 'Бакрылова', 'Светлана', 'Захаровна', 1)
(3, 'Поникаров', 'Филипп', 'Андронович', 1)
(4, 'Курбатова', 'Валерия', 'Фомевна', 1)
(5, 'Ланцова', 'Анастасия', 'Игоревна', 1)
(6, 'Хуснутдинов', 'Эрнест', 'Яковович', 1)
(7, 'Квартовский', 'Денис', 'Елисеевич', 1)
(8, 'Царицына', 'Любовь', 'Петровна', 1)
(9, 'Сайбаталов', 'Наум', 'Евстафиевич', 1)
(10, 'Аксёнова', 'Роза', 'Яновна', 1)
(11, 'Грабарь', 'Эмма', 'Станиславовна', 1)
(12, 'Ковалёва', 'Лариса', 'Иларионовна', 1)
(13, 'Распопов', 'Артемий', 'Чеславович', 1)
(14, 'Абакумова', 'Анфиса', 'Яновна', 1)
(15, 'Никашин', 'Сергей', 'Ермолаевич', 1)
(16, 'Пустоходова', 'Таисия', 'Казимировна', 1)
(17, 'Фотин', 'Наум', 'Фомевич', 1)
(18, 'Ёжина', 'Екатерина', 'Иларионовна', 1)
(19, 'Цедлица', 'Фаина', 'Геннадиевна', 2)
(20, 'Быстрова', 'Лада', 'Александровна', 2)
(21, 'Яблокова', 'Людмила', 'Виталиевна', 2)
(22, 'Сычёва', 'Лиана', 'Яновна', 2)
(23, 'Лапухов', 'Андрей', 'Ильевич', 2)
(24, 'Федорова', 'Кристина', 'Емельяновна', 2)
(25, 'Новиков', 'Максим', 'Евграфович', 2)
(26, 'Кручинина', 'Любава', 'Константиновна', 2)
(27, 'Ананьев', 'Харитон', 'Мечиславович', 2)
(28, 'Яналов', 'Эдуард', 'Ростиславович', 2)
(29, 'Гайдук', 'Агап', 'Архипович', 2)
(30, 'Вятт', 'Виталий', 'Кириллович', 2)
(31, 'Журавлёва', 'Тамара', 'Тимуровна', 2)
(32, 'Сухарников', 'Поликарп', 'Григориевич', 2)
(33, 'Жаворонков', 'Леонид', 'Измаилович', 2)
(34, 'Астрединова', 'Доминика', 'Брониславовна', 2)
(35, 'Аксёнова', 'Наталия', 'Иосифовна', 2)
(36, 'Кризько', 'Владимир', 'Мечиславович', 2)
(37, 'Якухина', 'Милена', 'Геннадиевна', 3)
(38, 'Бажанова', 'Агафья', 'Афанасиевна', 3)
(39, 'Сподарев', 'Всеслав', 'Богданович', 3)
(40, 'Уголева', 'Каролина', 'Ефимовна', 3)
(41, 'Лидина', 'Диана', 'Потаповна', 3)
(42, 'Эзрина', 'Лада', 'Карповна', 3)
(43, 'Леванов', 'Артемий', 'Севастьянович', 3)
(44, 'Яворов', 'Вадим', 'Архипович', 3)
(45, 'Сиянских', 'Казимир', 'Ипатиевич', 3)
(46, 'Андреюшкина', 'Зинаида', 'Никитевна', 3)
(47, 'Эфирова', 'Марина', 'Федотовна', 3)
(48, 'Юбкина', 'Ульяна', 'Святославовна', 3)
(49, 'Ябров', 'Варфоломей', 'Ростиславович', 3)
(50, 'Скворцов', 'Модест', 'Зиновиевич', 3)
(51, 'Блокова', 'Раиса', 'Святославовна', 3)
(52, 'Никулин', 'Денис', 'Тимурович', 3)
(53, 'Комраков', 'Максим', 'Вячеславович', 3)
(54, 'Балыков', 'Чеслав', 'Онисимович', 3)
(55, 'Алимкина', 'Анна', 'Анатолиевна', 4)
(56, 'Окладников', 'Филипп', 'Пахомович', 4)
(57, 'Лоскутова', 'Полина', 'Ивановна', 4)
(58, 'Макаров', 'Владилен', 'Евлампиевич', 4)
(59, 'Царицына', 'Раиса', 'Федоровна', 4)
(60, 'Курзыбов', 'Валерьян', 'Пахомович', 4)
(61, 'Лунина', 'Нона', 'Романовна', 4)
(62, 'Гончаров', 'Федор', 'Федосиевич', 4)
(63, 'Ткач', 'Мирослав', 'Михеевич', 4)
(64, 'Усенко', 'Клавдий', 'Федорович', 4)
(65, 'Вельяминова', 'Фаина', 'Иларионовна', 4)
(66, 'Куджиашвили', 'Самуил', 'Олегович', 4)
(67, 'Палванова', 'Жанна', 'Романовна', 4)
(68, 'Уманова', 'Пелагея', 'Потаповна', 4)
(69, 'Набоков', 'Лукьян', 'Никонович', 4)
(70, 'Полищука', 'Лариса', 'Тимуровна', 4)
(71, 'Панькива', 'Вера', 'Тимофеевна', 4)
(72, 'Журавлёва', 'Нина', 'Федоровна', 4)
(73, 'Щепетинникова', 'Бронислава', 'Андрияновна', 5)
(74, 'Проскура', 'Архип', 'Михеевич', 5)
(75, 'Шалимов', 'Агафон', 'Фролович', 5)
(76, 'Платонов', 'Лукьян', 'Самуилович', 5)
(77, 'Бакрылова', 'Розалия', 'Ипполитовна', 5)
(78, 'Пронина', 'Жанна', 'Всеволодовна', 5)
(79, 'Бурмакин', 'Виктор', 'Севастьянович', 5)
(80, 'Травников', 'Феликс', 'Елизарович', 5)
(81, 'Смешной', 'Капитон', 'Макарович', 5)
(82, 'Цирюльникова', 'Александра', 'Юлиевна', 5)
(83, 'Эйлер', 'Осип', 'Игоревич', 5)
(84, 'Жикина', 'Регина', 'Владиленовна', 5)
(85, 'Онипченко', 'Ираида', 'Олеговна', 5)
(86, 'Петрухина', 'Марина', 'Владленовна', 5)
(87, 'Воронцова', 'Агния', 'Николаевна', 5)
(88, 'Нарыкова', 'Жанна', 'Яновна', 5)
(89, 'Гандельман', 'Руслан', 'Феоктистович', 5)
(90, 'Канаша', 'Изольда', 'Святославовна', 5)
(91, 'Федосова', 'Изольда', 'Владиленовна', 6)
(92, 'Антоновича', 'Алиса', 'Мефодиевна', 6)
(93, 'Ягнятев', 'Ираклий', 'Миронович', 6)
(94, 'Яромеев', 'Константин', 'Маркович', 6)
(95, 'Воронцов', 'Ираклий', 'Леонидович', 6)
(96, 'Лобанова', 'Ирина', 'Германовна', 6)
(97, 'Куликов', 'Эдуард', 'Семенович', 6)
(98, 'Капралова', 'Юнона', 'Петровна', 6)
(99, 'Жутова', 'Ксения', 'Несторовна', 6)
(100, 'Цельнер', 'Петр', 'Елизарович', 6)
(101, 'Алимкин', 'Всеслав', 'Анатолиевич', 6)
(102, 'Попова', 'Эмилия', 'Михеевна', 6)
(103, 'Юнге', 'Клавдий', 'Федорович', 6)
(104, 'Юренева', 'Розалия', 'Марковна', 6)
(105, 'Коровин', 'Модест', 'Филимонович', 6)
(106, 'Куджиашвили', 'Сергей', 'Онуфриевич', 6)
(107, 'Огурцова', 'Ника', 'Федотовна', 6)
(108, 'Базанова', 'Нина', 'Игнатиевна', 6)
(109, 'Булатов', 'Вадим', 'Андронович', 7)
(110, 'Чернецкий', 'Артемий', 'Никонович', 7)
(111, 'Кузьминых', 'Павел', 'Прокофиевич', 7)
(112, 'Набокина', 'Марианна', 'Николаевна', 7)
(113, 'Гайдученко', 'Адриан', 'Яковович', 7)
(114, 'Ягнятев', 'Карл', 'Иванович', 7)
(115, 'Сияница', 'Арина', 'Федотовна', 7)
(116, 'Царёва', 'Бронислава', 'Николаевна', 7)
(117, 'Пережогин', 'Бронислав', 'Левович', 7)
(118, 'Бандуркина', 'Варвара', 'Евгениевна', 7)
(119, 'Цирюльникова', 'Марина', 'Трофимовна', 7)
(120, 'Капралова', 'Ника', 'Антониновна', 7)
(121, 'Торсунов', 'Рубен', 'Леонидович', 7)
(122, 'Янкевич', 'Эдуард', 'Чеславович', 7)
(123, 'Гавриленкова', 'Марианна', 'Олеговна', 7)
(124, 'Старостин', 'Вячеслав', 'Ростиславович', 7)
(125, 'Лебединцев', 'Поликарп', 'Иннокентиевич', 7)
(126, 'Ерохина', 'Фаина', 'Мефодиевна', 7)
(127, 'Мамыкина', 'Яна', 'Афанасиевна', 8)
(128, 'Сычкина', 'Ираида', 'Марковна', 8)
(129, 'Типалова', 'Бронислава', 'Данилевна', 8)
(130, 'Куваева', 'Раиса', 'Ильевна', 8)
(131, 'Громов', 'Филипп', 'Никанорович', 8)
(132, 'Саврасова', 'Регина', 'Семеновна', 8)
(133, 'Пярин', 'Федор', 'Проклович', 8)
(134, 'Семенов', 'Самуил', 'Еремеевич', 8)
(135, 'Цейдлерина', 'Марфа', 'Иосифовна', 8)
(136, 'Яйцов', 'Демьян', 'Потапович', 8)
(137, 'Канадина', 'Ирина', 'Тимуровна', 8)
(138, 'Енотина', 'Светлана', 'Романовна', 8)
(139, 'Жвикова', 'Ираида', 'Тимуровна', 8)
(140, 'Карпюк', 'Венедикт', 'Елисеевич', 8)
(141, 'Гайдук', 'Георгий', 'Эмилевич', 8)
(142, 'Витаева', 'Варвара', 'Казимировна', 8)
(143, 'Сияновича', 'Полина', 'Несторовна', 8)
(144, 'Казакова', 'Эвелина', 'Германовна', 8)
(145, 'Логиновский', 'Нестор', 'Фомевич', 9)
(146, 'Кузубов', 'Прокл', 'Михеевич', 9)
(147, 'Эйбоженко', 'Анатолий', 'Евлампиевич', 9)
(148, 'Стрельцова', 'Вероника', 'Несторовна', 9)
(149, 'Полевщиков', 'Остап', 'Макарович', 9)
(150, 'Зубарев', 'Вадим', 'Яковович', 9)
(151, 'Шеломов', 'Семён', 'Кириллович', 9)
(152, 'Кузанов', 'Петр', 'Евлампиевич', 9)
(153, 'Лысова', 'Пелагея', 'Александровна', 9)
(154, 'Чичваркин', 'Адам', 'Казимирович', 9)
(155, 'Чувикова', 'Осип', 'Адамович', 9)
